
n = 1:
      ss1(1) =   5.5892105 3
      ss1(2) =   5.5892105 3
      ss2(1) =  -0.3827859 3
      ss2(2) =  -0.3827859 3
      ss3(1) =  -3.8318501 3
      ss3(2) =  -3.8318501 3
      ls1(1) =  -3.9184176 3
      ls1(2) =  -3.9184176 3
      ls2(1) =   7.4593086 3
      ls2(2) =   7.4593086 3
      ls3(1) =  -0.5789854 3
      ls3(2) =  -0.5789854 3
      sm1(1) =  10.8276701 3
      sm1(2) =  10.8276701 3
      sm1(3) =  10.8276701 3
      sm1(4) =  10.8276701 3
     sm2h(1) = -11.2520511 3
     sm2h(2) = -11.2520511 3
     sm2h(3) = -11.2520511 3
