
n = 1:
      sm3(18) =   0.7259511 4
      sm3(19) =   0.7259511 4
      sm3(20) =   0.7259511 4
      sm3(1) = -224.3744907 5
      sm3(2) = -224.3744907 5
      sm3(3) = -224.3744907 5
      sm3(4) = -224.3744907 5
      sm3(5) = -224.3744907 5
      sm3(6) = -224.3744907 5
      sm3(7) = -224.3744907 5
      sm3(8) = -224.3744907 5
      sm3(9) = -224.3744907 5
      sm3(10) = -224.3744907 5
      sm3(11) = -224.3744907 5
      sm3(12) = -224.3744907 5
      sm3(13) = -224.3744907 5
      sm3(14) = -224.3744907 5
      sm3(15) = -224.3744907 5
      sm3(16) = -224.3744907 5
      sm3(17) = -224.3744907 5
      sm3(18) = -224.3744907 5
      sm3(19) = -224.3744907 5
      sm3(20) = -224.3744907 5

n = 6:
      sl1(1) =  -1.0171903 3
      sl1(2) =  -1.0171903 3
      sl1(3) =  -1.0171903 3
      sl1(4) =  -1.0171903 3
      sl1(5) =  -1.0171903 3
      sl1(6) =  -1.0171903 3
      sl1(7) =  -1.0171903 3
      sl1(8) =  -1.0171903 3
      sl1(9) =  -1.0171903 3
      sl1(10) =  -1.0171903 3
      sl2(1) =   3.2317152 3
      sl2(2) =   3.2317152 3
      sl2(3) =   3.2317152 3
      sl2(4) =   3.2317152 3
      sl2(5) =   3.2317152 3
      sl2(6) =   3.2317152 3
      sl2(7) =   3.2317152 3
      sl2(8) =   3.2317152 3
      sl2(9) =   3.2317152 3
      sl2(10) =   3.2317152 3
      sl3(1) =  -3.3693125 3
      sl3(2) =  -3.3693125 3
      sl3(3) =  -3.3693125 3
      sl3(4) =  -3.3693125 3
      sl3(5) =  -3.3693125 3
      sl3(6) =  -3.3693125 3
      sl3(7) =  -3.3693125 3
      sl3(8) =  -3.3693125 3
      sl3(9) =  -3.3693125 3
      sl3(10) =  -3.3693125 3
      sh1(1) =   2.8838845 3
      sh1(2) =   2.8838845 3
      sh1(3) =   2.8838845 3
      sh1(4) =   2.8838845 3
      sh1(5) =   2.8838845 3
      sh1(6) =   2.8838845 3
      sh1(7) =   2.8838845 3
      sh1(8) =   2.8838845 3
      sh1(9) =   2.8838845 3
      sh1(10) =   2.8838845 3
      sh3(1) =  -1.1301872 3
      sh3(2) =  -1.1301872 3
      sh3(3) =  -1.1301872 3
      sh3(4) =  -1.1301872 3
