
n = 1:
      sl2(1) =   3.3586602 3
      sl2(2) =   3.3586602 3
      sl3(1) =  -3.2136877 3
      sl3(2) =  -3.2136877 3
      sh1(1) =   3.1305341 3
      sh1(2) =   3.1305341 3
      sh3(1) =  -1.1760431 3
      sh3(2) =  -1.1760431 3
      sh4(1) =  -1.3150366 3
      sh4(2) =  -1.3150366 3
     sm1a(1) =  -1.9219120 3
     sm1a(2) =  -1.9219120 3
     sm1b(1) =  -2.8969875 3
     sm1b(2) =  -2.8969875 3
      sm2(1) =   3.4986768 3
      sm2(2) =   3.4986768 3
      sm3(1) =   0.0318739 3
      sm3(2) =   0.0318739 3
      sm3(3) =   0.0318739 3
      sm3(4) =   0.0318739 3
      sm3(1) =  -0.1271318 4
      sm3(2) =  -0.1271318 4
      sm3(3) =  -0.1271318 4
      sm3(4) =  -0.1271318 4
      sm3(1) =  -2.2402194 5
